"file_name","document_type","work_type","capture_mode","rotation_degrees","language_hint","is_primary","declared_fields_available","notes"
"aadhaar back.jpeg","aadhaar_back","all","camera","0","en","true","unknown","added from new upload; verify readability and field completeness"
"aadhaar front.jpeg","aadhaar_front","all","camera","0","en","true","unknown","added from new upload; verify readability and field completeness"
"Bank Statement.pdf","bank_statement_primary","all","gallery","0","en","true","unknown","added from new upload; verify statement period >= 6 months"
"broadband bill 2(wifi).jpeg","wifi_bill","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"broadband bill(wifi).jpeg","wifi_bill","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"E sharm card.jpeg","e_shram_card","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"eb bill.jpeg","electricity_bill","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"EMI screenshots\screnshot template1.jpeg","emi_proof","all","gallery","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"EMI screenshots\screnshot template2.jpeg","emi_proof","all","gallery","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"EMI screenshots\screnshot template3.jpeg","emi_proof","all","gallery","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Four wheeler vehicle isurance part 1.jpeg","insurance","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Four wheeler vehicle isurance part 2(continuation).jpeg","insurance","all","camera","0","en","false","unknown","auto-filled from filename/folder; verify fields and ordering"
"FSSAI.jpeg","fssai_certificate","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"heath isurance.jpeg","insurance","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"ITR Acknowledgement.jpeg","itr","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"life issurance part-1.jpeg","insurance","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"life issurance part-2.jpeg","insurance","all","camera","0","en","false","unknown","auto-filled from filename/folder; verify fields and ordering"
"Mobile bill airtel.jpeg","mobile_bill","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"mobile recharge screenshot.jpeg","mobile_bill","all","gallery","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"No due form which represents the loan completion proof for pm svanidhi and another scheme part 1.jpeg","loan_closure_proof","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"No due form which represents the loan completion proof for pm svanidhi and another scheme part 2(continuation).jpeg","loan_closure_proof","all","camera","0","en","false","unknown","auto-filled from filename/folder; verify fields and ordering"
"Online Platform worker screenshots\WhatsApp Image 2026-03-19 at 12.41.55 AM.jpeg","platform_activity_proof","platform","gallery","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Online Platform worker screenshots\WhatsApp Image 2026-03-19 at 12.41.56 AM (1).jpeg","platform_activity_proof","platform","gallery","0","en","false","unknown","auto-filled from filename/folder; verify fields and ordering"
"Online Platform worker screenshots\WhatsApp Image 2026-03-19 at 12.41.56 AM.jpeg","platform_activity_proof","platform","gallery","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Online Platform worker screenshots\WhatsApp Image 2026-03-19 at 12.41.57 AM.jpeg","platform_activity_proof","platform","gallery","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"pan back.jpeg","pan_back","all","camera","0","en","false","unknown","added from new upload; PAN supplementary side"
"pan front.jpeg","pan_front","all","camera","0","en","true","unknown","added from new upload; PAN extraction source image"
"Pm svanidhi letter of recommendation.jpeg","recommendation_letter","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"pm sym template card no values.jpeg","insurance","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"PMJJBY part 1.jpeg","insurance","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"PMJJBY part 2(continuation).jpeg","insurance","all","camera","0","en","false","unknown","auto-filled from filename/folder; verify fields and ordering"
"RC.jpeg","rc","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"rent agreement.jpeg","residence_proof","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Rent receipt.jpeg","residence_proof","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"SBI PPF passbook.jpeg","ppf_passbook","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Shops & Establishments Registration.jpeg","shop_establishment_certificate","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Skill india ndsc certificate.jpeg","skill_certificate","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"Udyam Registration Certificate.jpeg","udyam_certificate","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
"UPI_gpay_statement.pdf","upi_statement","all","gallery","0","en","true","unknown","added from new upload; categorize credits/debits and counterparties"
"Vehicle insurance.jpeg","insurance","all","camera","0","en","true","unknown","auto-filled from filename/folder; verify fields and ordering"
